                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.3133,                0.50028,                 1.7571,                0.45649,                0.33415,                 0.3275,                0.11927,                      0,                    inf,                      0,               0.070059,              0.0033268,              0.0033268
                      1,                 2.5659,                0.27238,                 1.1581,                0.65981,                0.51502,                0.56505,                 0.2666,                      0,                    inf,                      0,               0.040037,              0.0066382,              0.0066382
                      2,                 2.2312,                0.23791,                 1.0773,                0.66923,                0.50043,                0.55052,                0.26165,                      0,                    inf,                      0,              0.0099926,              0.0099275,              0.0099275
                      3,                  2.046,                0.21945,                 1.0359,                 0.7588,                0.62365,                0.69109,                0.35658,                      0,                    inf,                      0,               0.009901,               0.009901,               0.009901
                      4,                 1.9175,                0.20533,                 1.0056,                0.78025,                0.64535,                0.71271,                0.38163,                      0,                    inf,                      0,               0.009901,               0.009901,               0.009901
                      5,                 1.8473,                0.19779,                0.98891,                 0.7954,                0.66863,                0.73578,                0.40433,                      0,                    inf,                      0,               0.009868,               0.009868,               0.009868
                      6,                 1.7894,                 0.1914,                 0.9751,                  0.802,                0.68252,                0.74671,                0.41661,                      0,                    inf,                      0,               0.009835,               0.009835,               0.009835
                      7,                  1.742,                0.18675,                 0.9684,                0.81362,                0.69722,                0.76188,                0.43021,                      0,                    inf,                      0,               0.009802,               0.009802,               0.009802
                      8,                 1.7135,                0.18339,                0.96186,                0.81099,                0.70043,                0.76748,                0.43508,                      0,                    inf,                      0,               0.009769,               0.009769,               0.009769
                      9,                 1.6828,                0.17975,                0.95205,                0.81911,                0.70371,                0.77361,                0.44303,                      0,                    inf,                      0,               0.009736,               0.009736,               0.009736
                     10,                 1.6668,                  0.178,                0.94968,                 0.8324,                0.71535,                0.78436,                0.45232,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                     11,                 1.6418,                0.17515,                0.94432,                0.83336,                0.71699,                0.78609,                0.45629,                      0,                    inf,                      0,                0.00967,                0.00967,                0.00967
                     12,                 1.6265,                0.17329,                0.94166,                0.83577,                0.72061,                0.78995,                0.46226,                      0,                    inf,                      0,               0.009637,               0.009637,               0.009637
                     13,                  1.611,                0.17177,                0.93884,                0.83106,                0.72475,                0.79374,                0.46241,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                     14,                 1.6041,                0.17047,                0.93472,                0.83412,                0.72441,                0.79369,                0.46335,                      0,                    inf,                      0,               0.009571,               0.009571,               0.009571
                     15,                 1.5911,                0.16905,                0.93268,                 0.8414,                0.73236,                0.79952,                0.47236,                      0,                    inf,                      0,               0.009538,               0.009538,               0.009538
                     16,                 1.5771,                0.16714,                0.92877,                0.84885,                0.73272,                0.80265,                0.47609,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                     17,                 1.5683,                 0.1666,                0.92733,                0.84302,                0.73855,                0.80529,                0.47644,                      0,                    inf,                      0,               0.009472,               0.009472,               0.009472
                     18,                 1.5652,                0.16568,                0.92519,                0.84942,                0.73753,                0.80623,                0.47946,                      0,                    inf,                      0,               0.009439,               0.009439,               0.009439
                     19,                 1.5526,                0.16479,                0.92505,                0.85065,                 0.7387,                0.80855,                0.48419,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                     20,                 1.5477,                0.16354,                0.92212,                0.85319,                0.74253,                0.81204,                0.48742,                      0,                    inf,                      0,               0.009373,               0.009373,               0.009373
                     21,                 1.5401,                0.16298,                 0.9215,                 0.8562,                0.74363,                0.81618,                 0.4909,                      0,                    inf,                      0,                0.00934,                0.00934,                0.00934
                     22,                 1.5304,                 0.1617,                 0.9191,                0.85142,                0.75053,                 0.8205,                0.49253,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                     23,                 1.5237,                0.16124,                0.91729,                0.85317,                0.74889,                 0.8186,                0.49252,                      0,                    inf,                      0,               0.009274,               0.009274,               0.009274
                     24,                 1.5202,                0.16065,                0.91665,                0.85687,                0.75072,                0.82183,                0.49654,                      0,                    inf,                      0,               0.009241,               0.009241,               0.009241
                     25,                 1.5158,                0.16005,                0.91601,                0.85779,                0.75247,                0.82368,                0.49937,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     26,                 1.5165,                0.15982,                0.91598,                 0.8588,                0.75386,                0.82565,                 0.5009,                      0,                    inf,                      0,               0.009175,               0.009175,               0.009175
                     27,                 1.5117,                0.15937,                0.91493,                 0.8555,                0.75444,                0.82365,                0.49952,                      0,                    inf,                      0,               0.009142,               0.009142,               0.009142
                     28,                 1.5052,                0.15893,                0.91275,                0.85568,                 0.7584,                0.82536,                0.50216,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     29,                 1.5015,                0.15826,                0.91246,                0.86182,                0.75784,                0.82846,                0.50457,                      0,                    inf,                      0,               0.009076,               0.009076,               0.009076
                     30,                 1.4921,                0.15709,                0.91015,                0.86429,                0.76033,                0.82992,                0.50471,                      0,                    inf,                      0,               0.009043,               0.009043,               0.009043
                     31,                 1.4968,                0.15771,                0.91029,                0.85891,                0.76151,                0.82978,                0.50679,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     32,                 1.4904,                0.15684,                0.90848,                0.86338,                0.76286,                0.83041,                0.50758,                      0,                    inf,                      0,               0.008977,               0.008977,               0.008977
                     33,                 1.4836,                0.15633,                0.90939,                0.86585,                0.76296,                0.83381,                0.51154,                      0,                    inf,                      0,               0.008944,               0.008944,               0.008944
                     34,                 1.4803,                0.15561,                0.90623,                 0.8653,                 0.7645,                0.83601,                0.51281,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     35,                 1.4763,                 0.1554,                 0.9071,                0.86354,                0.76291,                0.83429,                0.51142,                      0,                    inf,                      0,               0.008878,               0.008878,               0.008878
                     36,                  1.474,                0.15484,                0.90585,                 0.8679,                0.76558,                0.83567,                0.51317,                      0,                    inf,                      0,               0.008845,               0.008845,               0.008845
                     37,                 1.4734,                 0.1552,                0.90699,                 0.8672,                0.76667,                0.83618,                 0.5138,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     38,                 1.4707,                0.15482,                0.90532,                0.86506,                0.76763,                0.83693,                0.51606,                      0,                    inf,                      0,               0.008779,               0.008779,               0.008779
                     39,                 1.4662,                0.15429,                0.90594,                0.86887,                0.76675,                0.83741,                0.51623,                      0,                    inf,                      0,               0.008746,               0.008746,               0.008746
                     40,                 1.4679,                0.15379,                0.90449,                 0.8698,                0.77139,                0.84039,                0.51864,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     41,                  1.464,                0.15336,                 0.9035,                0.86953,                0.76914,                0.83773,                 0.5165,                      0,                    inf,                      0,                0.00868,                0.00868,                0.00868
                     42,                 1.4603,                0.15314,                0.90428,                0.87167,                 0.7707,                0.84057,                0.51951,                      0,                    inf,                      0,               0.008647,               0.008647,               0.008647
                     43,                 1.4539,                0.15277,                0.90333,                0.87008,                0.77106,                0.84119,                0.51965,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     44,                 1.4536,                0.15202,                0.90153,                0.87016,                0.77158,                0.84073,                0.52115,                      0,                    inf,                      0,               0.008581,               0.008581,               0.008581
                     45,                 1.4487,                0.15204,                0.90182,                0.87114,                0.77293,                0.84379,                0.52257,                      0,                    inf,                      0,               0.008548,               0.008548,               0.008548
                     46,                   1.45,                0.15209,                0.90174,                0.87163,                0.77374,                0.84477,                0.52307,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     47,                 1.4489,                0.15168,                0.90032,                0.87381,                0.77173,                0.84569,                0.52482,                      0,                    inf,                      0,               0.008482,               0.008482,               0.008482
